start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[MUSIC]
00:00:02,00:00:05,"Hello Club Fischer's, welcome to this week's Little Fish."
00:00:05,00:00:09,"But before any further ado, Dan, we have a message."
00:00:09,00:00:10,We do indeed.
00:00:10,00:00:12,We have a live show coming up very excitingly.
00:00:12,00:00:16,It is in Sweden at the Lund Comedy Festival.
00:00:16,00:00:18,"Yes, the Lund Comedy Festival in Sweden."
00:00:18,00:00:24,"And it's on Saturday the 29th of August, my brother's birthday at 7pm."
00:00:24,00:00:28,"So sorry, John, I won't be coming to your birthday because I will be in Lund."
00:00:28,00:00:32,"But John, if you want to get a ticket, James, I'm afraid, will not give you a comp."
00:00:32,00:00:35,"But there is a pre-sale for Club Fischer members, and it starts today."
00:00:35,00:00:38,Monday the 23rd of March at 10am.
00:00:38,00:00:40,That's 9am Swedish time.
00:00:40,00:00:42,"Yeah, he's not a Club Fischer member anyway."
00:00:42,00:00:44,Visit nosesthingsaffish.com/lund
00:00:44,00:00:49,to get your tickets and hurry before General Sail opens at the end of the week.
00:00:49,00:00:50,On with the podcast.
00:00:50,00:00:51,On with the show.
00:00:51,00:01:11,Hello and welcome to another episode of Little Fish.
00:01:11,00:01:15,"My name is Andrew Hunter Murray, and I'm here with Dan Friba and James Harkin, and we are"
00:01:15,00:01:20,going to go through your facts from the last seven days.
00:01:20,00:01:24,"Four facts have been flooding into the fish inbox podcast at qi.com, and now we're going"
00:01:24,00:01:26,to tell you some of the best ones.
00:01:26,00:01:27,Who's got a fact?
00:01:27,00:01:28,"Okay, I've got one."
00:01:28,00:01:30,This is from Henry Bix.
00:01:30,00:01:37,"Henry says that in 2016, a Gothenburg man apologized for removing a giant snow penis"
00:01:37,00:01:42,"by replacing it with a much larger snow penis, and this has led to a spin-off tradition"
00:01:42,00:01:45,and even a new political party.
00:01:45,00:01:49,"Oh, okay, some questions, so many questions."
00:01:49,00:01:53,Is that a sincere apology replacing a penis with a much larger snow penis?
00:01:53,00:01:56,"Yeah, because he was apologizing for removing the original one."
00:01:56,00:01:57,Right.
00:01:57,00:01:58,"Oh, I see."
00:01:58,00:01:59,Okay.
00:01:59,00:02:00,Next question.
00:02:00,00:02:04,"I'm sorry, the man in the beanie hat."
00:02:04,00:02:05,Thank you.
00:02:05,00:02:08,"The penis, just a bit more on that, please."
00:02:08,00:02:14,Is it a vertical standing with two testes or what are we talking?
00:02:14,00:02:18,"Okay, so the original was a flat drawing."
00:02:18,00:02:22,"It was done on a river in Gothenburg, and the government couldn't remove it until the"
00:02:22,00:02:26,weather changed because the ice was too thin.
00:02:26,00:02:31,And then a local company helped out by getting a giant brush that they used to clean windows
00:02:31,00:02:34,"on tall buildings, and they brushed it out."
00:02:34,00:02:39,"Now, people on the internet then got really, really mad because they thought that the government"
00:02:39,00:02:45,"had been spending taxpayers' dollars rubbing out this penis, and they set up Facebook"
00:02:45,00:02:47,pages saying this is disgusting.
00:02:47,00:02:51,"And the man who did it, who wasn't from the government, he was just doing what he thought"
00:02:51,00:02:54,"was a good deed, and then said, okay, fine."
00:02:54,00:02:58,"And he went into the north of the country, got a couple of massive snowblowers, and then"
00:02:58,00:03:04,"drew an enormous penis on the ground, which was 70 metres in length."
00:03:04,00:03:09,"And the tradition, the new tradition, these are 3D penises, which are on a roundabout in"
00:03:09,00:03:12,a place called Boulouse.
00:03:12,00:03:13,Okay.
00:03:13,00:03:16,I think it's a good use of taxpayers' money to get rid of an enormous penis that someone's
00:03:16,00:03:17,drawn on the ground.
00:03:17,00:03:18,Do you know?
00:03:18,00:03:20,"Call me ""captain government""."
00:03:20,00:03:24,"But you know, there isn't a magical money tree, Andy, who's not getting that money."
00:03:24,00:03:27,"I think that's one of the core functions of a government, if I'm honest."
00:03:27,00:03:33,"It's like, defense, absolutely, comes first, second, remove snow penises, third, in short"
00:03:33,00:03:37,"prosperity, those are my two top priorities, and that's my political party."
00:03:37,00:03:38,Yeah.
00:03:38,00:03:40,Why is there a political party?
00:03:40,00:03:45,The political party is the people who are started doing this tradition in the town of
00:03:45,00:03:51,"Boulouse, and they, the political thing, you know, they do put up this penis, but actually"
00:03:51,00:03:56,"they're kind of an art collective, and they started a political party to see how easy"
00:03:56,00:04:00,"it would be to set up a political party, which is like an art thing, but then part of"
00:04:00,00:04:03,the art thing is also making these giant sculptures.
00:04:03,00:04:08,I should say that the information that I got all of this additional stuff from is a YouTuber
00:04:08,00:04:12,"called Edland Art, who did an amazing video about it."
00:04:12,00:04:13,Very cool.
00:04:13,00:04:14,Very nice.
00:04:14,00:04:18,"There's a drawing of a penis on the moon, as well, which blow it up, is low, it up."
00:04:18,00:04:26,"I think it's big enough already, Andy, I don't think you need to blow it up."
00:04:26,00:04:30,"This was the moon museum, sure you guys have heard of it, so it was left up there by"
00:04:30,00:04:33,"Apollo 12, and it was a group of artists."
