start_hhmmss,end_hhmmss,text
00:00:00,00:00:17,"Hey everyone, welcome to another episode of Little Fish."
00:00:17,00:00:22,This is the episode where we put down our facts and we go through the podcast at qi.com
00:00:22,00:00:27,inbox and we pick out the best facts that you have sent in for us to read out.
00:00:27,00:00:31,"So my name is Dan Schreiber, I'm sitting here with Andrew Hunter Murray and James"
00:00:31,00:00:32,Harkin.
00:00:32,00:00:35,We have now got your best facts from the last seven days.
00:00:35,00:00:36,Let's go.
00:00:36,00:00:37,Andy do you want to start?
00:00:37,00:00:38,Yes.
00:00:38,00:00:39,This is a good one.
00:00:39,00:00:48,It's from Kev Osman and it's that the Chancellor of the Exchequer between 1606 and 1614 was
00:00:48,00:00:53,Julius Caesar.
00:00:53,00:00:55,"Um, okay."
00:00:55,00:00:56,It's the guy named Julius Caesar.
00:00:56,00:00:57,"Oh, was it?"
00:00:57,00:01:01,I think Kev was going through a list of Chancellor's of the Exchequer from history.
00:01:01,00:01:02,Wow.
00:01:02,00:01:03,Thought this is a typo.
00:01:03,00:01:04,Okay.
00:01:04,00:01:09,"Is it, um, is it his full name or was he called Julius Caesar Johnson or something?"
00:01:09,00:01:13,"He had another name which he was, is sometimes referred to as in the records but it's not"
00:01:13,00:01:14,very clear.
00:01:14,00:01:18,It was either Julius Caesar sometimes or something else Caesar on other occasions.
00:01:18,00:01:23,"But anyway, basically he was, he was a very interesting guy who was born in Tottenham and"
00:01:23,00:01:28,"he became very kind of eminent. He had three wives, the first of whom was called Dorcas which"
00:01:28,00:01:29,is just a name I love.
00:01:29,00:01:30,Wow.
00:01:30,00:01:31,Such a good name Dorcas.
00:01:31,00:01:33,"Oh, I can't believe I'm not funding to have any more children."
00:01:33,00:01:34,I know.
00:01:34,00:01:37,"It's, I think it's absolutely right for a comeback."
00:01:37,00:01:41,"Like all the easy old-fashioned names have been absolutely straight back, you know."
00:01:41,00:01:42,They always do.
00:01:42,00:01:46,"But I honestly, oh, I might have to go back and speak to my wife today because I think"
00:01:46,00:01:48,this is almost a reason for having a second child.
00:01:48,00:01:52,"Oh, I thought you were going to say change your current child's name."
00:01:52,00:01:55,"She's still young, she already knows."
00:01:55,00:01:56,She'll adjust.
00:01:56,00:02:00,"Yeah, she doesn't really know what her real name is because we all call it by a nickname."
00:02:00,00:02:01,There you go.
00:02:01,00:02:03,Just telling you remember Dorcas.
00:02:03,00:02:04,Yeah.
00:02:04,00:02:08,"Um, but Francis Bacon was his third wife's uncle this guy, Julius Caesar."
00:02:08,00:02:10,"His third wife's uncle, okay?"
00:02:10,00:02:11,Yep.
00:02:11,00:02:12,Okay.
00:02:12,00:02:14,Probably they didn't see each other that much.
00:02:14,00:02:17,"Guys, I've done a lot of homework about Julius Caesar and you're going to have to hear"
00:02:17,00:02:18,it now.
00:02:18,00:02:19,I'm sorry.
00:02:19,00:02:20,"No, no, please, yeah."
00:02:20,00:02:24,"And as the chancellor of the extractor is a big deal in British politics, yes, and Julius"
00:02:24,00:02:30,Caesar was a big deal in America would be like the equivalent of the Secretary of State
00:02:30,00:02:31,for the Treasury or something.
00:02:31,00:02:34,"Yeah, yeah, exactly."
00:02:34,00:02:41,And the one other fact I found out was that Julius Caesar's son was also called Julius Caesar
00:02:41,00:02:44,and died by being stabbed to death.
00:02:44,00:02:45,You're kidding?
00:02:45,00:02:46,Nope.
00:02:46,00:02:47,Wow.
00:02:47,00:02:51,"He's been fencing, and he's been slightly wounded during a fencing match."
00:02:51,00:02:52,Yeah.
00:02:52,00:02:58,"He wanted revenge on his opponent, lay in wait with a pistol."
00:02:58,00:03:04,"When the opponent came into view, Julius Caesar, Julius fired, missed, and was then run"
00:03:04,00:03:09,"through with a sword and killed, so I mean, he has to shoulder some of the blame there."
00:03:09,00:03:10,Yeah.
00:03:10,00:03:11,Absolutely.
00:03:11,00:03:15,I think he's even more culpable for his Julius Caesaring than Julius Caesar was.
00:03:15,00:03:16,Yeah.
00:03:16,00:03:17,He died.
00:03:17,00:03:20,"I don't know if it was in March, mid March."
00:03:20,00:03:21,I don't know.
00:03:21,00:03:22,Amazing.
00:03:22,00:03:23,Yeah.
00:03:23,00:03:24,There you go.
00:03:24,00:03:25,Great find.
00:03:25,00:03:26,Yes.
00:03:26,00:03:27,"Thank you, Kev."
00:03:27,00:03:28,Terrific fact.
00:03:28,00:03:29,Yes.
00:03:29,00:03:32,One of my favorite Julius Caesar facts is the actual real more famous Julius Caesar.
00:03:32,00:03:36,"He had like two or three sisters, and they were all called Julius Caesar."
00:03:36,00:03:37,Julius Caesar.
00:03:37,00:03:38,You're kidding.
00:03:38,00:03:39,Yeah.
00:03:39,00:03:40,And that's just the way it worked in those days.
00:03:40,00:03:45,"Like you would have like Julia Minor, Julia Major, Julia, something else."
00:03:45,00:03:47,"It was kind of the family name, wasn't it?"
00:03:47,00:03:48,Yeah.
00:03:48,00:03:49,Right.
00:03:49,00:03:52,"Then you had, I don't like George Foreman calling all his kids."
00:03:52,00:03:53,"Well, kind of."
00:03:53,00:03:58,"But then if he, if his like sons were called big George, little George, cardboard box"
00:03:58,00:04:05,"George, like, okay, this fact is from Michael Luna."
00:04:05,00:04:11,"And Michael says, I'm from Edinburgh, Texas."
00:04:11,00:04:15,"I assume it's not a typo, and there's a place called Edinburgh without the H."
