start_hhmmss,end_hhmmss,text
00:00:00,00:00:17,"""Hello and welcome to another episode of no such thing as a fish, a weekly podcast"
00:00:17,00:00:20,coming to you from the QI offices in Hobern.
00:00:20,00:00:25,"My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray, James Harkin, and"
00:00:25,00:00:30,"Anatishinsky. And once again, we have gathered around the microphones with our four favorite"
00:00:30,00:00:35,"facts from the last seven days and in no particular order, here we go. Starting with fact number"
00:00:35,00:00:39,"one, and looky looky, it's Anatishinsky."""
00:00:39,00:00:47,"My fact this week is that wild oats sow themselves. Yeah, so basically they're plants that look"
00:00:47,00:00:52,a bit like oats and they have seeds at the top of them that come in little cluster that's
00:00:52,00:00:58,"called a panicle. But they don't panic, they very calmly have two spikes sticking out of"
00:00:58,00:01:03,them called oons and they look a bit like very long hairy legs. And basically when the
00:01:03,00:01:08,"seeds come off, they go onto the ground and when they dry out, they twist one way and"
00:01:08,00:01:11,"when they get moist, they twist another. So as the moisture goes up and down, they twist"
00:01:11,00:01:16,back and forth. And it reminded me a bit of one of those moves used to do in gym where
00:01:16,00:01:23,"you lie on your back and play your legs out and roll around. You know, I'm back in that gym anyway."
00:01:23,00:01:27,"We just sort of did the bleep test and stuff at my school. Yeah, I teach you a fact actually."
00:01:27,00:01:33,"But they sort of, it makes them sort of crawl around and then they'll find a crevice, eventually"
00:01:33,00:01:36,"they'll fall into a crevice. And once they've fallen into a crevice, this motion makes"
00:01:36,00:01:40,them drill down into it so they literally bury themselves.
00:01:40,00:01:45,It's the closest thing you'll see to something that's not sentient being absolutely sentient.
00:01:45,00:01:49,It just looks like it's got a mind. It's not guaranteed your sentence. It's a dream stuff.
00:01:49,00:01:53,"I think it's a life, guys. I think it is a life. No, honestly, it is a life."
00:01:53,00:01:56,"Well, there we go. James agrees. What are they? You two."
00:01:56,00:02:01,"Um, um, why don't so they, the ancestors of the oats that we eat?"
00:02:01,00:02:04,"We think so, although there seems to be some disagreement, but I think they are, yes, although"
00:02:04,00:02:08,"the oats that we eat, the cultivated oats have lost these ones because they're bred"
00:02:08,00:02:12,"out so the seeds can get much bigger. And wild oats are, I think, a weed. Yes."
00:02:12,00:02:16,Right. And they're quite annoying because they can plant themselves. Yeah. So the idea of
00:02:16,00:02:22,"sowing wild oats is something that you would never need to do it because they do it themselves,"
00:02:22,00:02:26,but also you wouldn't want to do it because it gets in the way of all your normal plants.
00:02:26,00:02:31,Mm hmm. So sowing wild oats became a phrase that meant just doing something pointless as
