start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:06,"- Hi everyone, welcome to this week's episode"
00:00:06,00:00:08,"of No Six Things A Fish, where we were joined"
00:00:08,00:00:10,by one of our idols.
00:00:10,00:00:14,It is American author Mary Roach.
00:00:14,00:00:16,I think Mary really is one of us.
00:00:16,00:00:19,"She loves going around, looking for facts,"
00:00:19,00:00:22,and then putting them in her amazing books.
00:00:22,00:00:25,"Her books include things like Steph,"
00:00:25,00:00:28,"which is all about what happens to us after we die,"
00:00:28,00:00:31,"Bunk, which is about, well, you can imagine, about sex,"
00:00:31,00:00:35,"Gulp, which is about swallowing and eating,"
00:00:35,00:00:37,"a grunt, which is about humans at war,"
00:00:37,00:00:40,"fuzz, which is about humans and animals"
00:00:40,00:00:42,"in legal conflicts with each other,"
00:00:42,00:00:44,"and the incredible packing for Mars,"
00:00:44,00:00:46,which is all about space.
00:00:46,00:00:49,"Honestly, her books are so, so good."
00:00:49,00:00:51,"She tells such a good story,"
00:00:51,00:00:53,and she finds all the incredible fascinating facts
00:00:53,00:00:55,"about all these subjects,"
00:00:55,00:00:57,and she has a new book out.
00:00:57,00:01:00,"Her new book is called Replaceable You,"
00:01:00,00:01:02,"Adventures in Human Anatomy,"
00:01:02,00:01:05,and it is all about how we can replace
00:01:05,00:01:06,different parts of our body.
00:01:06,00:01:08,"Thanks to the wonders of technology,"
00:01:08,00:01:09,it's full of facts.
00:01:09,00:01:10,I know you'll love it.
00:01:10,00:01:11,"If you want to know more about Mary,"
00:01:11,00:01:13,"then go to MaryRoach.net,"
00:01:13,00:01:16,"and all the details of how to buy her books are there,"
00:01:16,00:01:18,and I highly recommend you do it.
00:01:18,00:01:20,I am literally looking at my bookcase right now
00:01:20,00:01:24,"in my house, and I can see four of her books on there."
00:01:24,00:01:27,It's no exaggeration to say we love her stuff.
00:01:27,00:01:30,"Anyway, one more tiny little bit of news for you,"
00:01:30,00:01:32,as you will know by now.
00:01:32,00:01:34,"We have been going on Patreon quite recently,"
00:01:34,00:01:36,and you can go on there and sign up
00:01:36,00:01:37,for a whole load of different tiers
00:01:37,00:01:39,"and get loads of good stuff,"
00:01:39,00:01:41,"but you could also sign up for free,"
00:01:41,00:01:43,"and you will be able to get a little bit of free stuff,"
00:01:43,00:01:46,and one of those things that is available for everyone now
00:01:46,00:01:48,is a newsletter.
00:01:48,00:01:51,"So we have decided for a limited time,"
00:01:51,00:01:55,"perhaps, depending on how the workload goes,"
00:01:55,00:01:57,to put out a newsletter all about the things
00:01:57,00:01:59,"that are happening behind the scenes,"
00:01:59,00:02:00,on those things are fish.
00:02:00,00:02:02,"There's little silly quizzes in there,"
00:02:02,00:02:03,"there's facts about things in the news,"
00:02:03,00:02:05,there's all sorts of stuff.
00:02:05,00:02:06,We're giving it a try.
00:02:06,00:02:08,We don't know whether it will work or not.
00:02:08,00:02:10,"Let us know if you've read it, and if you like it,"
00:02:10,00:02:11,"and the way to find that,"
00:02:11,00:02:16,and all of our Patreon stuff is to go to patreon.com/clubfish.
00:02:16,00:02:19,"Anyway, I know you're all desperate to hear"
00:02:19,00:02:22,"what Mary Roach has to say on this week's podcast,"
00:02:22,00:02:25,"so with no further ado, I'll meet the podcast."
00:02:25,00:02:27,(upbeat music)
00:02:27,00:02:35,(speaking in foreign language)
00:02:35,00:02:45,"- Hello, and welcome to another episode"
00:02:45,00:02:46,"of ""No Such Thing as a Fish"""
00:02:46,00:02:48,a weekly podcast coming to you
00:02:48,00:02:51,from four undisplosed locations around the world.
00:02:51,00:02:53,My name is Dan Schreiber.
00:02:53,00:02:55,"I am sitting here with James Harkin,"
00:02:55,00:02:57,"Andrew Hunter Murray, and Mary Roach."
00:02:57,00:03:00,"And once again, we have gathered around the microphones"
00:03:00,00:03:03,"with our four favorite facts from the last seven days,"
00:03:03,00:03:06,"and in no particular order, here we go."
00:03:06,00:03:10,"Starting with fact number one, and that is Mary."
00:03:10,00:03:11,- Here we go.
00:03:11,00:03:15,"At the early blood banks, we're talking around 1915 or so,"
00:03:15,00:03:19,the staff sat hidden behind a wall with holes cut
00:03:19,00:03:21,every few feet.
00:03:21,00:03:25,"Donors would come in, sit down, stick their arm through a hole,"
00:03:25,00:03:30,and thereby be spared the sight of needles and blood.
00:03:30,00:03:31,- Wow.
00:03:31,00:03:35,- Do you guys in the UK have the term glory hole?
00:03:35,00:03:39,"- Oh, gosh, you know what, my brain did not go there."
00:03:39,00:03:40,- That was quick.
00:03:40,00:03:41,- I see my brain went there.
00:03:41,00:03:43,"- I don't know, Mary."
00:03:43,00:03:45,I'm just gonna put that on the record.
00:03:45,00:03:47,"- Yeah, I mean, we do have them in the UK."
00:03:47,00:03:51,"We don't have them in NHS facilities, necessarily, but--"
00:03:51,00:03:54,"- Yeah, anyway, blood bank glory holes."
00:03:54,00:03:55,That's what came to mind.
00:03:55,00:03:57,"But anyway, that's my fact."
00:03:57,00:03:58,- That's my fact.
00:03:58,00:04:01,- Were people very scared of needles in a way they're not now?
00:04:01,00:04:05,"'Cause I think, unless you have a specific fear of needles now,"
00:04:05,00:04:07,most people are moral right with it.
00:04:07,00:04:08,"- Well, it's because it was new."
00:04:08,00:04:12,"This, you know, it was like in the teens,"
00:04:12,00:04:15,"when they discovered anti-coagulants,"
00:04:15,00:04:19,so they could actually store blood and have a blood bank
